Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2018,3210.0,3303.45,3190.05,3293.8,3265.7253785083967,33883,2563,110652573.0,11830.0,34.91,113.4,83.8
30-July-2018,3181.6,3227.05,3180.0,3205.0,3200.8751421559814,16707,1485,53477021.0,4757.0,28.47,47.05,23.4
27-July-2018,3157.85,3230.0,3136.3,3193.8,3197.8727507299527,44181,3350,141285216.0,10820.0,24.49,93.7,35.95
26-July-2018,3052.1,3187.65,3052.1,3137.7,3121.662639948442,66721,6350,208280453.0,14685.0,22.01,135.55,85.6
25-July-2018,3141.85,3199.0,3071.1,3111.95,3131.932761364423,72265,6086,226329121.0,14414.0,19.95,127.9,-29.9
24-July-2018,3185.6,3208.0,3037.1,3101.45,3125.6073886648423,115799,7913,361942210.0,39044.0,33.72,170.9,-84.15
23-July-2018,3385.1,3385.1,3094.0,3163.9,3185.0981912605853,112067,8915,356944399.0,26604.0,23.74,291.1,-221.2
20-July-2018,3462.0,3489.75,3323.0,3373.15,3386.703752988876,48095,3435,162883517.0,14610.0,30.38,166.75,-88.85
19-July-2018,3510.0,3510.0,3446.05,3458.9,3476.4220615620557,9129,968,31736257.0,3630.0,39.76,63.95,-51.1
18-July-2018,3505.0,3514.8,3476.7,3501.5,3496.56575940162,9626,866,33657942.0,3018.0,31.35,38.1,-3.5
17-July-2018,3415.0,3510.0,3400.0,3479.55,3472.458733907722,30061,3518,104385582.0,11025.0,36.68,110.0,64.55
16-July-2018,3470.0,3471.0,3415.0,3423.85,3430.5008628565624,9851,1100,33793864.0,3949.0,40.09,56.0,-46.15
13-July-2018,3505.0,3520.0,3439.0,3460.6,3468.942752072013,18219,1251,63200668.0,6227.0,34.18,81.0,-44.4
12-July-2018,3551.0,3576.95,3485.0,3498.05,3540.605271362137,76982,2959,272562875.0,10882.0,14.14,91.95,-52.95
11-July-2018,3552.05,3579.4,3526.15,3540.7,3542.2567306262085,33615,2025,119072960.0,11726.0,34.88,53.25,-11.35
10-July-2018,3629.25,3695.0,3570.5,3592.15,3597.199320738697,28266,2366,101678436.0,11205.0,39.64,124.5,-37.1
9-July-2018,3690.0,3690.0,3608.3,3622.2,3635.4294418118043,16249,1254,59072093.0,6170.0,37.97,81.7,-67.8
6-July-2018,3518.0,3665.0,3489.65,3636.7,3623.32473093392,43205,3745,156545745.0,14828.0,34.32,175.35,118.7
5-July-2018,3484.65,3517.2,3458.95,3502.7,3495.256527018821,13176,1752,46053500.0,4905.0,37.23,58.25,18.05
4-July-2018,3450.0,3480.0,3417.4,3468.45,3453.0826276412067,12163,1060,41999844.0,2664.0,21.9,62.6,18.45
3-July-2018,3450.0,3483.8,3444.0,3453.5,3463.92565055762,15871,1241,54975964.0,3456.0,21.78,39.8,3.5
2-July-2018,3819.0,3819.0,3394.8,3413.6,3464.6234985318974,22478,1866,77877807.0,5919.0,26.33,424.2,-405.4
29-June-2018,3528.6,3531.0,3460.0,3472.05,3491.9759134702776,11002,1365,38418719.0,4775.0,43.4,71.0,-56.55
28-June-2018,3522.2,3545.3,3476.6,3513.85,3507.8947472745285,15135,1745,53091987.0,6327.0,41.8,68.7,-8.35
27-June-2018,3609.0,3609.0,3522.05,3538.05,3544.6827636576095,34230,1984,121334491.0,25597.0,74.78,86.95,-70.95
26-June-2018,3573.0,3577.1,3536.45,3567.6,3556.5779702970294,12120,1516,43105725.0,3925.0,32.38,40.65,-5.4
25-June-2018,3640.1,3640.1,3571.05,3585.15,3588.944878148123,14731,1656,52868747.0,5190.0,35.23,69.05,-54.95
22-June-2018,3620.0,3650.05,3602.15,3640.1,3628.845604979505,13174,1467,47806412.0,4502.0,34.17,47.9,20.1
21-June-2018,3660.0,3673.7,3621.0,3631.55,3647.5754169688184,8274,557,30180039.0,1614.0,19.51,52.7,-28.45
20-June-2018,3655.0,3675.6,3643.9,3658.05,3657.2940637176257,8726,568,31913548.0,1859.0,21.3,31.7,3.05
19-June-2018,3671.0,3671.0,3625.5,3655.65,3645.3091844389673,9331,632,34014380.0,2052.0,21.99,45.5,-15.35
18-June-2018,3676.4,3698.2,3655.05,3668.7,3674.1645233885224,12442,776,45713955.0,2547.0,20.47,43.15,-7.7
15-June-2018,3720.6,3720.6,3655.0,3689.15,3678.52800283573,19748,686,72643571.0,11234.0,56.89,65.6,-31.45
14-June-2018,3694.75,3706.75,3632.95,3684.1,3688.937791701299,15641,528,57698676.0,10719.0,68.53,73.8,-10.65
13-June-2018,3672.05,3715.0,3672.05,3698.9,3697.3729101728522,21174,689,78288174.0,15916.0,75.17,42.95,26.85
12-June-2018,3612.05,3715.0,3602.55,3688.75,3656.4712395925785,23661,1571,86515766.0,11606.0,49.05,112.45,76.7
11-June-2018,3676.0,3677.4,3602.5,3612.55,3623.708185053381,9554,589,34620908.0,3723.0,38.97,74.9,-63.45
8-June-2018,3650.0,3655.0,3608.0,3634.4,3631.7431026684762,8844,706,32119136.0,3512.0,39.71,47.0,-15.6
7-June-2018,3660.0,3680.0,3629.25,3657.05,3652.8179735422364,13531,1338,49426280.0,4710.0,34.81,50.75,-2.95
6-June-2018,3622.75,3652.0,3599.1,3638.9,3620.700232852182,174789,1038,632858573.0,166181.0,95.08,52.9,16.15
5-June-2018,3612.0,3629.0,3569.0,3608.65,3583.0633707453085,425354,1123,1524070337.0,418119.0,98.3,60.0,-3.35
4-June-2018,3641.0,3678.05,3599.75,3612.0,3627.6667777037524,18012,1633,65341534.0,4318.0,23.97,78.3,-29.0
1-June-2018,3547.0,3633.25,3547.0,3623.75,3608.901589989651,21258,1876,76718030.0,2604.0,12.25,86.25,76.75
31-May-2018,3575.0,3620.9,3500.0,3547.25,3550.8756453145,24213,1790,85977352.0,10332.0,42.67,120.9,-27.75
30-May-2018,3613.1,3624.0,3530.1,3606.85,3584.8447464155793,9346,965,33503959.0,2102.0,22.49,93.9,-6.25
29-May-2018,3660.0,3660.0,3565.6,3612.35,3599.7851566794943,9095,782,32740046.0,3277.0,36.03,94.4,-47.65
